"inning","inningHalf","outcomeId","outcomeDescription","pitcherThrowHand","pitcherPitchCount","pitchSpeed","pitchZone","startingBalls","startingStrikes","startingOuts","Success","age","sprint_speed","Fastest","AvgSpeed","home_lead","pitchType","pitchTypeDescription"
6,"BOT","kKL","Strike Looking","R",93,90,11,0,0,0,1,28,28.7,92.8,85.076851532897,1,"FA","Fastball"
2,"TOP","kKS","Strike Swinging","R",30,84,12,2,1,1,0,31,29,100.2,90.1941489361702,0,"CU","Curveball"
4,"TOP","kKS","Strike Swinging","R",58,95,9,1,0,0,0,27,27.8,100.2,90.1941489361702,0,"FA","Fastball"
3,"BOT","bB","Ball","R",47,89,11,1,1,1,1,28,28.7,92.1,84.7019713954387,0,"FA","Fastball"
3,"TOP","bB","Ball","L",54,87,10,0,1,0,1,28,29.2,91.6,85.5969173859433,0,"FA","Fastball"
6,"TOP","bB","Ball","R",19,88,13,1,2,1,1,25,27.7,97.7,91.9408450704225,-3,"SL","Slider"
1,"BOT","bB","Ball","R",34,93,13,0,0,2,1,28,29.2,96.8,89.3928370786517,6,"FA","Fastball"
3,"TOP","bB","Ball","R",43,81,12,2,2,2,1,26,27.9,90.8,83.4304971638305,3,"CH","Changeup"
9,"BOT","bB","Ball","R",12,98,10,0,1,1,1,29,28.6,101.5,93.7314079422383,-1,"FA","Fastball"
3,"BOT","kKL","Strike Looking","R",60,91,11,1,0,0,0,29,28.6,94.3,88.4799519807923,1,"FA","Fastball"
2,"BOT","bB","Ball","R",38,92,13,0,0,0,1,28,29.2,94.3,88.4799519807923,1,"FA","Fastball"
9,"TOP","kKL","Strike Looking","R",14,91,7,2,1,1,1,26,27.9,95.3,88.525,0,"CT","Cutter"
3,"TOP","bB","Ball","R",50,78,10,0,0,2,1,36,28.9,98.1,90.5704621848739,0,"CU","Curveball"
6,"BOT","bB","Ball","R",18,92,11,0,2,2,0,28,27.4,95.9,86.2013858497447,0,"SI","Sinker"
6,"BOT","bB","Ball","R",26,85,13,0,0,2,1,29,28.3,97.4,92.140367965368,6,"SL","Slider"
6,"TOP","bB","Ball","R",107,77,13,0,0,2,1,28,28.7,95.5,88.2470622624963,2,"CU","Curveball"
